year,cik,label
2018,0000007623,1
2018,0000744187,1
2018,0000009092,1
2018,0000730255,1
2018,0000764065,1
2018,0000021510,1
2018,0000830524,1
2018,0000024741,1
2018,0000029534,1
2018,0000030625,1
2018,0000034563,1
2018,0000035214,1
2018,0000039911,1
2018,0000088205,1
2018,0000047111,1
2018,0000049728,1
2018,0000050863,1
2018,0000064463,1
2018,0000310568,1
2018,0000070866,1
2018,0000075340,1
2018,0000077360,1
2018,0000720500,1
2018,0000745732,1
2018,0000089800,1
2018,0000095953,1
2018,0000102109,1
2018,0000768835,1
2018,0001341439,1
2018,0000724571,1
2018,0001383097,1
2018,0000769520,1
2018,0000823094,1
2018,0001530185,1
2018,0001561627,1
2018,0001517130,1
2018,0000313716,1
2018,0001958713,1
2018,0001669779,1
2018,0001398529,1
2018,0001587523,1
2018,0001493761,1
2018,0001579910,1
2018,0001372414,1
2018,0001598428,1
2018,0000945764,1
2018,0000857949,1
2018,0000724910,1
2018,0001438461,1
2018,0000866787,1
2018,0000727634,1
2018,0001633917,1
2018,0000837852,1
2018,0000883943,1
2018,0000884217,1
2018,0001631282,1
2018,0001650505,1
2018,0001590565,1
2018,0001674910,1
2018,0001629665,1
2018,0000895456,1
2018,0000895447,1
2018,0000897429,1
2018,0001122976,1
2018,0000828146,1
2018,0000913142,1
2018,0000922521,1
2018,0001687932,1
2018,0000935703,1
2018,0000944075,1
2018,0000873044,1
2018,0001002638,1
2018,0001006028,1
2018,0001019034,1
2018,0001036262,1
2018,0001041859,1
2018,0000833640,1
2018,0001036848,1
2018,0001528849,1
2018,0001083922,1
2018,0001063537,1
2018,0001046995,1
2018,0001085869,1
2018,0001094084,1
2018,0001093691,1
2018,0001089143,1
2018,0000704532,1
2018,0001094285,1
2018,0001040161,1
2018,0001059556,1
2018,,1
2018,0000817720,1
2018,0001130713,1
2018,0001039399,1
2018,0001056285,1
2018,0001126741,1
2018,0001290900,1
2018,0000738214,1
2018,0001318484,1
2018,0001530804,1
2018,0001172631,1
2018,0001239819,1
2018,0001327567,1
2018,0001282648,1
2018,0000948426,1
2018,0001359841,1
2018,0001274494,1
2018,0001368458,1
2018,0001360565,1
2018,0001316517,1
2018,0001385292,1
2018,0001353970,1
2018,0001368365,1
2018,0001396033,1
2018,0001473597,1
2018,0001351285,1
2018,0001353487,1
2018,0001376321,1
2018,0001460329,1
2018,0001406666,1
2018,0001287213,1
2018,0001386278,1
2018,0001486299,1
2018,0001288469,1
2018,0001227025,1
2018,0001502034,1
2018,0001687221,1
2018,0001479526,1
2018,0001482541,1
2018,0001399935,1
2018,0001491419,1
2018,0000728385,1
2018,0001524025,1
2018,0001352010,1
2018,0001500242,1
2018,0000931799,1
2018,0000225211,1
